,school_old,school_adj,school,state,state_abbr
202,Coppin St.,Coppin State University,Coppin State University,Maryland,MD
203,Delaware St.,Delaware State University,Delaware State University,Delaware,DE
204,Florida A&M,Florida A&M University,Florida A&M University,Florida,FL
205,Howard,Howard Payne University,Howard Payne University,Texas,TX
206,Maryland Eastern Shore,"University of Maryland, Eastern Shore","University of Maryland, Eastern Shore",Maryland,MD
207,Morgan St.,Morgan State University,Morgan State University,Maryland,MD
208,Norfolk St.,Norfolk State University,Norfolk State University,Virginia,VA
209,North Carolina A&T,University of North Carolina at Asheville,University of North Carolina at Asheville,North Carolina,NC
210,North Carolina Central,North Carolina Central University,North Carolina Central University,North Carolina,NC
211,Savannah St.,Savannah State University,Savannah State University,Georgia,GA
212,South Carolina St.,South Carolina State University,South Carolina State University,South Carolina,SC
213,Bradley,Bradley University,Bradley University,Illinois,IL
214,Drake,Drake University,Drake University,Iowa,IA
215,Evansville,University of Evansville,University of Evansville,Indiana,IN
216,Illinois St.,Illinois State University,Illinois State University,Illinois,IL
217,Indiana St.,Indiana State University,Indiana State University,Indiana,IN
218,Missouri St.,Missouri State University,Missouri State University,Missouri,MO
219,Southern Illinois,Southern Illinois University Carbondale,Southern Illinois University Carbondale,Illinois,IL
220,Northern Iowa,University of Northern Iowa,University of Northern Iowa,Iowa,IA
221,Air Force,United States Air Force Academy,United States Air Force Academy,Colorado,CO
222,Colorado St.,Colorado State University,Colorado State University,Colorado,CO
223,Fresno St.,Fresno Pacific University,Fresno Pacific University,California,CA
224,Nevada,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",Nevada,NV
225,New Mexico,University of New Mexico,University of New Mexico,New Mexico,NM
226,San Jose St.,San Jose State University,San Jose State University,California,CA
227,UNLV,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",Nevada,NV
228,Utah St.,Utah State University,Utah State University,Utah,UT
229,Boise St.,Boise State University,Boise State University,Idaho,ID
230,San Diego St.,San Diego State University,San Diego State University,California,CA
231,Wyoming,University of Wyoming,University of Wyoming,Wyoming,WY
232,Bryant,Bryant University,Bryant University,Rhode Island,RI
233,Central Connecticut,Central Connecticut State University,Central Connecticut State University,Connecticut,CT
234,Fairleigh Dickinson,Fairleigh Dickinson University,Fairleigh Dickinson University,New Jersey,NJ
235,LIU Brooklyn,Brooklyn College,Brooklyn College,New York,NY
236,Mount St. Mary's,Mount St. Mary’s University,Mount St. Mary’s University,California,CA
237,Mount St. Mary's,Mount St. Mary’s University,Mount St. Mary’s University,Maryland,MD
238,Sacred Heart,Sacred Heart University,Sacred Heart University,Connecticut,CT
239,St. Francis NY,St. Francis College,St. Francis College,New York,NY
240,St. Francis PA,St. Francis College,St. Francis College,New York,NY
241,Wagner,Wagner College,Wagner College,New York,NY
242,Robert Morris,Robert Morris University,Robert Morris University,Pennsylvania,PA
243,Austin Peay,Austin Peay State University,Austin Peay State University,Tennessee,TN
244,Eastern Illinois,Eastern Illinois University,Eastern Illinois University,Illinois,IL
245,Eastern Kentucky,Eastern Kentucky University,Eastern Kentucky University,Kentucky,KY
246,Jacksonville St.,Jacksonville State University,Jacksonville State University,Alabama,AL
247,Morehead St.,Morehead State University,Morehead State University,Kentucky,KY
248,Murray St.,Murray State University,Murray State University,Kentucky,KY
249,SIU Edwardsville,Southern Illinois University Edwardsville,Southern Illinois University Edwardsville,Illinois,IL
250,Southeast Missouri St.,Southeast Missouri State University,Southeast Missouri State University,Missouri,MO
251,Tennessee Martin,Tennessee Technological University,Tennessee Technological University,Tennessee,TN
252,Tennessee St.,East Tennessee State University,East Tennessee State University,Tennessee,TN
253,Tennessee Tech,Tennessee Technological University,Tennessee Technological University,Tennessee,TN
254,Belmont,Belmont Abbey College,Belmont Abbey College,North Carolina,NC
255,Arizona St.,Arizona State University,Arizona State University,Arizona,AZ
256,California,"University of California, Berkeley","University of California, Berkeley",California,CA
257,Colorado,University of Colorado,University of Colorado,Colorado,CO
258,Oregon St.,Oregon State University,Oregon State University,Oregon,OR
259,Stanford,Stanford University,Stanford University,California,CA
260,USC,University of Southern California,University of Southern California,California,CA
261,Washington,University of Washington,University of Washington,Washington,WA
262,Washington St.,Washington State University,Washington State University,Washington,WA
263,UCLA,"University of California, Los Angeles","University of California, Los Angeles",California,CA
264,Utah,University of Utah,University of Utah,Utah,UT
265,American,North American University,North American University,Texas,TX
266,Army,United States Military Academy,United States Military Academy,New York,NY
267,Boston University,Boston University,Boston University,Massachusetts,MA
268,Bucknell,Bucknell University,Bucknell University,Pennsylvania,PA
269,Colgate,Colgate University,Colgate University,New York,NY
270,Holy Cross,Holy Cross College,Holy Cross College,Indiana,IN
271,Lehigh,Lehigh University,Lehigh University,Pennsylvania,PA
272,Loyola MD,Loyola Marymount University,Loyola Marymount University,California,CA
273,Navy,United States Naval Academy,United States Naval Academy,Maryland,MD
274,Lafayette,University of Louisiana at Lafayette,University of Louisiana at Lafayette,Louisiana,LA
275,Appalachian St.,Appalachian State University,Appalachian State University,North Carolina,NC
276,Arkansas Little Rock,University of Arkansas at Little Rock,University of Arkansas at Little Rock,Arkansas,AR
277,Arkansas St.,Arkansas State University,Arkansas State University,Arkansas,AR
278,Georgia Southern,Georgia Southern University,Georgia Southern University,Georgia,GA
279,Louisiana Lafayette,University of Louisiana at Lafayette,University of Louisiana at Lafayette,Louisiana,LA
280,Louisiana Monroe,University of Louisiana at Monroe,University of Louisiana at Monroe,Louisiana,LA
281,South Alabama,University of South Alabama,University of South Alabama,Alabama,AL
282,Texas St.,Texas State University,Texas State University,Texas,TX
283,Troy,Troy University,Troy University,Alabama,AL
284,UT Arlington,University of Texas at Arlington,University of Texas at Arlington,Texas,TX
285,Georgia St.,Georgia State University,Georgia State University,Georgia,GA
286,Little Rock,University of Arkansas at Little Rock,University of Arkansas at Little Rock,Arkansas,AR
287,Chattanooga,University of Tennessee at Chattanooga,University of Tennessee at Chattanooga,Tennessee,TN
288,East Tennessee St.,East Tennessee State University,East Tennessee State University,Tennessee,TN
289,Furman,Furman University,Furman University,South Carolina,SC
290,Mercer,Mercer University,Mercer University,Georgia,GA
291,Samford,Samford University,Samford University,Alabama,AL
292,The Citadel,The Citadel,The Citadel,South Carolina,SC
293,UNC Greensboro,University of North Carolina at Greensboro,University of North Carolina at Greensboro,North Carolina,NC
294,VMI,Virginia Military Institute,Virginia Military Institute,Virginia,VA
295,Western Carolina,Western Carolina University,Western Carolina University,North Carolina,NC
296,Wofford,Wofford College,Wofford College,South Carolina,SC
297,Alabama,University of Alabama,University of Alabama,Alabama,AL
298,Mississippi St.,Mississippi State University,Mississippi State University,Mississippi,MS
299,Missouri,University of Missouri,University of Missouri,Missouri,MO
300,Tennessee,University of Tennessee,University of Tennessee,Tennessee,TN
301,Texas A&M,Texas A&M International University,Texas A&M International University,Texas,TX
302,Vanderbilt,Vanderbilt University,Vanderbilt University,Tennessee,TN
303,Arkansas,University of Arkansas,University of Arkansas,Arkansas,AR
304,Georgia,University of Georgia,University of Georgia,Georgia,GA
305,LSU,Louisiana State University of Alexandria,Louisiana State University of Alexandria,Louisiana,LA
306,Mississippi,University of Mississippi,University of Mississippi,Mississippi,MS
307,Abilene Christian,Abilene Christian University,Abilene Christian University,Texas,TX
308,Central Arkansas,University of Central Arkansas,University of Central Arkansas,Arkansas,AR
309,Houston Baptist,Houston Baptist University,Houston Baptist University,Texas,TX
310,Incarnate Word,University of the Incarnate Word,University of the Incarnate Word,Texas,TX
311,Lamar,Lamar University,Lamar University,Texas,TX
312,McNeese St.,McNeese State University,McNeese State University,Louisiana,LA
313,New Orleans,Loyola University New Orleans,Loyola University New Orleans,Louisiana,LA
314,Nicholls St.,Nicholls State University,Nicholls State University,Louisiana,LA
315,Northwestern St.,Northwestern State University,Northwestern State University,Louisiana,LA
316,Sam Houston St.,Sam Houston State University,Sam Houston State University,Texas,TX
317,Southeastern Louisiana,Southeastern Louisiana University,Southeastern Louisiana University,Louisiana,LA
318,Texas A&M Corpus Chris,Texas A&M University – Corpus Christi,Texas A&M University – Corpus Christi,Texas,TX
319,Stephen F. Austin,Stephen F. Austin State University,Stephen F. Austin State University,Texas,TX
320,Denver,University of Denver,University of Denver,Colorado,CO
321,IPFW,Purdue University,Purdue University,Indiana,IN
322,Nebraska Omaha,University of Nebraska Omaha,University of Nebraska Omaha,Nebraska,NE
323,Oral Roberts,Oral Roberts University,Oral Roberts University,Oklahoma,OK
324,South Dakota,University of South Dakota,University of South Dakota,South Dakota,SD
325,South Dakota St.,South Dakota State University,South Dakota State University,South Dakota,SD
326,Western Illinois,Western Illinois University,Western Illinois University,Illinois,IL
327,North Dakota St.,North Dakota State University,North Dakota State University,North Dakota,ND
328,Fort Wayne,Purdue University Fort Wayne,Purdue University Fort Wayne,Indiana,IN
329,Alabama A&M,Alabama A&M University,Alabama A&M University,Alabama,AL
330,Alabama St.,Alabama State University,Alabama State University,Alabama,AL
331,Alcorn St.,Alcorn State University,Alcorn State University,Mississippi,MS
332,Arkansas Pine Bluff,University of Arkansas at Pine Bluff,University of Arkansas at Pine Bluff,Arkansas,AR
333,Grambling St.,Grambling State University,Grambling State University,Louisiana,LA
334,Jackson St.,Jackson State University,Jackson State University,Mississippi,MS
335,Mississippi Valley St.,Mississippi Valley State University,Mississippi Valley State University,Mississippi,MS
336,Prairie View A&M,Prairie View A&M University,Prairie View A&M University,Texas,TX
337,Southern,Birmingham Southern College,Birmingham Southern College,Alabama,AL
338,Texas Southern,Texas Southern University,Texas Southern University,Texas,TX
339,Cal St. Bakersfield,"California State University, Bakersfield","California State University, Bakersfield",California,CA
340,Chicago St.,Chicago State University,Chicago State University,Illinois,IL
341,Grand Canyon,Grand Canyon University,Grand Canyon University,Arizona,AZ
342,Seattle,Seattle Pacific University,Seattle Pacific University,Washington,WA
343,UMKC,University of Missouri,University of Missouri,Missouri,MO
344,UT Rio Grande Valley,University of Texas Rio Grande Valley,University of Texas Rio Grande Valley,Texas,TX
345,Utah Valley,Utah Valley University,Utah Valley University,Utah,UT
346,New Mexico St.,New Mexico State University,New Mexico State University,New Mexico,NM
347,Cal Baptist,International Baptist College,International Baptist College,Arizona,AZ
348,Loyola Marymount,Loyola Marymount University,Loyola Marymount University,California,CA
349,Pacific,University of the Pacific,University of the Pacific,California,CA
350,Pepperdine,Pepperdine University,Pepperdine University,California,CA
351,Portland,Portland State University,Portland State University,Oregon,OR
352,Saint Mary's,Saint Mary’s College of California,Saint Mary’s College of California,California,CA
353,San Diego,San Diego Christian College,San Diego Christian College,California,CA
354,San Francisco,San Francisco State University,San Francisco State University,California,CA
355,Santa Clara,Santa Clara University,Santa Clara University,California,CA
356,BYU,Brigham Young University – Hawaii,Brigham Young University – Hawaii,Hawaii,HI
357,Cincinnati,Cincinnati Christian University,Cincinnati Christian University,Ohio,OH
358,UC San Diego,"University of California, San Diego","University of California, San Diego",California,CA
359,Dixie St.,Dixie State University,Dixie State University,Utah,UT
360,Merrimack,Merrimack College,Merrimack College,Massachusetts,MA
361,Tarleton St.,Tarleton State University,Tarleton State University,Texas,TX
362,Bellarmine,Bellarmine University,Bellarmine University,Kentucky,KY
363,Utah Tech,Montana Technological University,Montana Technological University,Montana,MT
364,St. Thomas,St. Thomas University,St. Thomas University,Florida,FL
365,Houston Christian,Ohio Christian University,Ohio Christian University,Ohio,OH
366,Lindenwood,Lindenwood University,Lindenwood University,Missouri,MO
367,Texas A&M Commerce,Texas A&M University – Commerce,Texas A&M University – Commerce,Texas,TX
368,Stonehill,Stonehill College,Stonehill College,Massachusetts,MA
369,Southern Indiana,University of Southern Indiana,University of Southern Indiana,Indiana,IN
370,Queens,Queens College,Queens College,New York,NY
